,제목,링크
0,"월마트·소프트뱅크도 뛰어든 틱톡 인수전…""인수가 최대 35조""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=015&aid=0004406000
1,MS+월마트 이어 손정의 가세…'60조원' 판커진 틱톡 인수전(종합),https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0004839190
2,"'오프라인 공룡' 월마트, MS와 손잡고 '틱톡' 인수전 가세(종합)",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=366&aid=0000579129
3,"'유통 공룡' 월마트, 틱톡 인수전 뛰어들었다…왜",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=025&aid=0003030116
4,관심 쏠리는 아베 기자회견... 건강 이상? 총리 사임?,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=047&aid=0002282470
5,"마이니치 ""아베 총리, 암 검사까지 받았다""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=011&aid=0003789444
6,아베 총리 기자회견 관전포인트…건강·거취·개각·코로나대책,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0011843963
7,“아베 총리 물러난다” “아니다”… 혼돈의 일본 열도,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003497984
8,"""토네이도 1천개 지나간 듯"" 시속 241㎞ 허리케인에 美쑥대밭",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=025&aid=0003030123
9,"시속 241㎞ 허리케인 '로라', 미국 남부 해안 강타…최소 6명 사망",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=057&aid=0001493646
10,[영상] 힘없이 쓰러진 캠핑카...허리케인 '로라'로 4명 숨지고 80만 가구 정전,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=437&aid=0000246253
11,"허리케인, 美 남부 강타...6명 사망·88만 가구 정전",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=052&aid=0001483823
12,"연준 ""2% 넘는 물가 용인""…인플레보다 저물가 경계",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=003&aid=0010045825
13,"美 연준의 '장기 저금리 선언'…""주식·금에는 호재, 달러에는 악재""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=366&aid=0000579548
14,"中, 美에 경고장… ""남중국해서 전쟁 일어날 수도""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=417&aid=0000586128
15,"""中미사일 발사 대응, 美와 무력충동 위험 높여""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0004839199
16,"""WHO, 중국 우한 근처도 안갔다""…베이징서 코로나 진원지 조사 파문",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=215&aid=0000896853
17,"WHO, 中 파견팀 '우한' 안갔다는 비판에…“선발대일 뿐, 곧 가겠다”",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=366&aid=0000579549
18,"바이든, 트럼프 연설 김빼기 '앙갚음'",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=277&aid=0004744867
19,"[미 공화 전대] “바이든은 항상 바쁘게 달린다”…민주, 광고로 트럼프 수락연설 방해戰",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=016&aid=0001717798
20,[굿모닝월드] 팔꿈치로 여는 문,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=057&aid=0001493488
21,[굿모닝월드] 다람쥐를 위한 미니 바,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=057&aid=0001493487
22,[굿모닝월드] 4살의 골프 실력,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=057&aid=0001493486
23,[굿모닝월드] 녹기 전에 달려갈게요,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=057&aid=0001492612
