jur_stn,year,상반기
마산동부경찰서,2020,0
마산동부경찰서,2020,1
마산중부경찰서,2020,0
마산중부경찰서,2020,1
서울강남경찰서,2020,0
서울강남경찰서,2020,1
서울강동경찰서,2020,0
서울강동경찰서,2020,1
서울강북경찰서,2020,0
서울강북경찰서,2020,1
서울강서경찰서,2020,0
서울강서경찰서,2020,1
서울관악경찰서,2020,0
서울관악경찰서,2020,1
서울광진경찰서,2020,0
서울광진경찰서,2020,1
서울구로경찰서,2020,0
서울구로경찰서,2020,1
서울금천경찰서,2020,0
서울금천경찰서,2020,1
서울남대문경찰서,2020,0
서울남대문경찰서,2020,1
서울노원경찰서,2020,0
서울노원경찰서,2020,1
서울도봉경찰서,2020,0
서울도봉경찰서,2020,1
서울동대문경찰서,2020,0
서울동대문경찰서,2020,1
서울동작경찰서,2020,0
서울동작경찰서,2020,1
서울마포경찰서,2020,0
서울마포경찰서,2020,1
서울방배경찰서,2020,0
서울방배경찰서,2020,1
서울서대문경찰서,2020,0
서울서대문경찰서,2020,1
서울서부경찰서,2020,0
서울서부경찰서,2020,1
서울서초경찰서,2020,0
서울서초경찰서,2020,1
서울성동경찰서,2020,0
서울성동경찰서,2020,1
서울성북경찰서,2020,0
서울성북경찰서,2020,1
서울송파경찰서,2020,0
서울송파경찰서,2020,1
서울수서경찰서,2020,0
서울수서경찰서,2020,1
서울양천경찰서,2020,0
서울양천경찰서,2020,1
서울영등포경찰서,2020,0
서울영등포경찰서,2020,1
서울용산경찰서,2020,0
서울용산경찰서,2020,1
서울은평경찰서,2020,0
서울은평경찰서,2020,1
서울종로경찰서,2020,0
서울종로경찰서,2020,1
서울종암경찰서,2020,0
서울종암경찰서,2020,1
서울중랑경찰서,2020,0
서울중랑경찰서,2020,1
서울중부경찰서,2020,0
서울중부경찰서,2020,1
서울혜화경찰서,2020,0
서울혜화경찰서,2020,1
세종경찰서,2020,0
세종경찰서,2020,1
수원남부경찰서,2020,0
수원남부경찰서,2020,1
수원서부경찰서,2020,0
수원서부경찰서,2020,1
수원중부경찰서,2020,0
수원중부경찰서,2020,1
진주경찰서,2020,0
진주경찰서,2020,1
진해경찰서,2020,0
진해경찰서,2020,1
창원서부경찰서,2020,0
창원서부경찰서,2020,1
창원중부경찰서,2020,0
창원중부경찰서,2020,1
